,abbreviation,meaning
89,p.c.,after food
90,p.m.,afternoon or evening
91,pm,afternoon or evening
92,PM,afternoon or evening
93,p.o.,orally / by mouth / oral administration
94,po,orally / by mouth / oral administration
95,PO,orally / by mouth / oral administration
96,p.r.,rectally
97,pr,rectally
98,PR,rectally
99,p.r.n.,"as needed (also pertactin, a key antigen of ac. pertussis vaccine)"
100,prn,"as needed (also pertactin, a key antigen of ac. pertussis vaccine)"
101,PRN,"as needed (also pertactin, a key antigen of ac. pertussis vaccine)"
102,p/c,presenting complaint
103,physio,physiotherapist
104,POP,plaster of paris
105,PTT,partial thromboplastin time
106,PU,passed urine
107,q.,every
108,q.1.d.,every day
109,q1d,every day
110,q.1.h.,every hour
111,q1h,every hour
112,q.2.h.,every 2 hours
113,q2h,every 2 hours
114,q.4.h.,every 4 hours
115,q4h,every 4 hours
116,q.6.h.,every 6 hours
117,q6h,every 6 hours
118,q.8.h.,every 8 hours
119,q8h,every 8 hours
120,q.d.,every day / daily
121,qd,every day / daily
122,q.d.s,4 times a day
123,qds,4 times a day
124,QDS,4 times a day
125,q.h.,"every hour, hourly"
126,qh,"every hour, hourly"
127,q.i.d,4 times a day
128,qid,4 times a day
129,q.o.d.,every other day / alternate days
130,qod,every other day / alternate days
131,q.s.,a sufficient quantity (enough)
132,qs,a sufficient quantity (enough)
133,RN,registered nurse
134,RNLD,learning disability nurse
135,ROSC,return of spontaneous circulation
136,RTA,road traffic accident
137,Rx,treatment
138,s.c.,injection under the skin
139,SC,injection under the skin
140,S/R,sustained release
141,SLT,speech and language therapist
142,SpR,specialist registrar
143,stat.,"immediately, with no delay, now"
144,STEMI,ST-elevation myocardial infarction
145,t.d.s,3 times a day
146,tds,3 times a day
147,TDS,3 times a day
148,t.i.d.,3 times a day
149,tid,3 times a day
150,TCI,to come in
151,TFT,thyroid function test
152,TPN,total parenteral nutrition
153,TPR,"temperature, pulse and respiration"
154,TTA,to take away
155,TTO,to take out
156,U&E,urea and electrolytes
157,u.d.,as directed
158,ud,as directed
159,UCC,urgent care centre
160,UTI,urinary tract infection
161,VLDL,very-low density lipoprotein
162,VTE,venous thromboembolism
163,Wt,weight
164,ABG,Arterial blood gases
165,ACE,Angiotensin converting enzyme
166,ACL,Anterior cruciate ligament
167,ADHD,Attention deficit hyperactivity disorder
168,AFIB,Atrial fibrillation
169,AIDS,Acquired immunodeficiency syndrome
170,ALP,Alkaline phosphatase
171,ALS,Amyotrophic lateral sclerosis.
172,ALT,Alanine aminotransferase
173,AMD,Age-related macular degeneration
174,AMI,Acute myocardial infarction
175,AODM,Adult onset diabetes mellitus
176,AST,Aspartate aminotransferase
177,AVM,Arteriovenous malformation
178,BID,Twice a day
179,BMI,Body mass index
180,BP,Blood pressure
181,BPH,Benign prostatic hypertrophy
182,BRCA,Breast Cancer Gene
183,BUN,Blood urea nitrogen
184,CA,Cancer OR Calcium
185,CA-125,Cancer antigen 125
186,CABG,Coronary artery bypass graft
187,CAD,Coronary artery disease
188,CAT,Computerized axial tomography
189,CBC,Complete blood count
190,CHD,Congenital heart disease
191,CHF,Congestive heart failure
192,CMV,Cytomegalovirus
193,CNS,Central nervous system
194,COPD,Chronic obstructive pulmonary disease
195,CPK,Creatine phosphokinase
196,CPR,Cardiopulmonary resuscitation
197,CRF,Chronic renal failure
198,CRP,C-reactive protein
199,CSF,Cerebrospinal fluid
200,CVA,Cerebrovascular accident
201,CXR,Chest x-ray
202,D&C,Dilatation and curettage
203,DJD,Degenerative joint disease
204,DM,Diabetes mellitus
205,DTP,"Diphtheria, tetanus, pertussis"
206,DVT,Deep-vein thrombosis
207,DX,Diagnosis
208,ECG,Electrocardiogram
209,EKG,Electrocardiogram
210,ECHO,Echocardiogram
211,EEG,Electroencephalogram
212,EMG,Electromyography
213,ENT,"Ear, nose and throat"
214,ERCP,Endoscopic retrograde cholangiopancreatography
215,ESR,Erythrocyte sedimentation rate
216,ESRD,End-stage renal (kidney) disease
217,FSH,Follicle stimulating hormone
218,GERD,Gastroesophageal reflux disease
219,GI,Gastrointestinal
220,GFR,Glomerular filtration rate
221,GU,Genitourinary
222,HAV,Hepatitis A virus
223,HBV,Hepatitis B virus
224,HCT,Hematocrit
225,HCV,Hepatitis C virus
226,HDL,High density lipoprotein
227,HGB,Hemoglobin
228,HIV,Human immunodeficiency virus
229,HPV,Human papilloma virus
230,HRT,Hormone replacement therapy
231,HTN,Hypertension
232,IBD,Inflammatory bowel disease
233,IBS,Irritable bowel syndrome
234,ICD,Implantable cardioverter defibrillator
235,ICU,Intensive care unit
236,IDDM,Insulin-dependent diabetes mellitus
237,IM,Intramuscular
238,IUD,Intrauterine device
239,IV,Intravenous
240,IVP,Intravenous pyelogram
241,LDL,Low density lipoprotein
242,LFT,Liver function tests
243,MI,Myocardial infarction
244,MMR,"Measles, mumps, and rubella"
245,MRI,Magnetic resonance imaging
246,MRSA,Methicillin-resistant Staphylococcus aureus
247,MS,Multiple sclerosis
248,NG,Nasogastric
249,NIDDM,Non-insulin dependent diabetes mellitus
250,NKDA,No known drug allergies
251,NSAID,Non-steroidal anti-inflammatory drug
252,OCD,Obsessive-compulsive disorder
253,PAD,Peripheral arterial disease
254,PAP,Papanicolau
255,PAT,Paroxysmal atrial tachycardia
256,PET,Positron emission tomography
257,PFT,Pulmonary function test
258,PID,Pelvic inflammatory disease
259,PMS,Premenstrual syndrome
260,PPD,Purified protein derivative
261,PRN,As needed
262,PSA,Prostate specific antigen
263,PT,Prothrombin time
264,PTH,Parathyroid hormone
265,PTSD,Post-traumatic stress syndrome
266,PTT,Partial thromboplastin time
267,PUD,Peptic ulcer disease
268,PVC,Premature ventricular contraction
269,QID,Four times a day
270,RA,Rheumatoid arthritis
271,RBC,Red blood cell
272,RSV,Respiratory syncytial virus
273,Rx,Prescription
274,SAD,Seasonal affective disorder
275,SIDS,Sudden infant death syndrome
276,SLE,Systemic lupus erythematosus
277,SOB,Shortness of Breath
278,STD,Sexually transmitted disease
279,T3,Triiodothyronine
280,T4,Thyroxine
281,TB,Tuberculosis
282,TAH,Total abdominal hysterectomy
283,TIA,Transient ischemic attack
284,TIBC,Total iron binding capacity
285,TID,Three times a day
286,TMJ,Temporomandibular joint
287,TORCH,Stands for a group of infections that may cause birth defects
288,TSH,Thyroid stimulating hormone
289,TURP,Transurethral resection of prostate gland
290,URI,Upper respiratory infection
291,UTI,Urinary tract infection
292,XRT,Radiotherapy
293,WBC,White blood cell
294,a,before (L. ante)
295,A,ampere
296,A&D,ascending and descending
297,A&O,alert and oriented
298,A&Ox3,"awake and oriented to person, place, and time"
299,A&Ox4,"awake and oriented to person, place, time, and situation"
300,A&P,anatomy and physiology
301,A&W,alive and well
302,A-A,atlanto-axial joint
303,A-a,alveolar-arterial
304,A-G ratio,albumin/globulin ratio
305,A-R,apical radial (pulse)
306,A-T,baby teeth
307,A-VO2,arteriovenous oxygen
308,a.c.,before meal (ante cibum)
309,a.p.,anterior-posterior
310,A/C,assist/control
311,A/G,albumin/globulin ratio
312,A/O,alert and oriented
313,A/V,aortic valve
314,A1c,glycosylated hemoglobin
315,A2,aortic second sound
316,aa,of each (ana ana)
317,AA,aortic aneurism
318,AA&O,"awake, alert and oriented"
319,AAA,abdominal aortic aneurysm
320,AAFP,American Academy of Family Physicians
321,AAL,anterior axillary line
322,AAMC,Association of American Medical Colleges
323,AAMI,age-associated memory impairment
324,AAO,"awake, alert, and oriented"
325,AAOS,American Academy of Orthopedic Surgeons
326,AAR,after action review/report
327,AAT,alpha-1-antitrypsin
328,AAU,acute anterior uveitis
329,Ab,abdominal
330,AB,active bilaterally
331,ABA,applied behavior analysis
332,Abb,abbreviated
333,ABC,advanced breast cancer
334,ABCD2,"age, blood pressure, clinical findings, duration of symptoms, diabetes mellitus (stroke risk score)"
335,ABCDE,"airway, breathing, circulation, disability, expose, and examine"
336,abd,abdomen
337,abdom,abdomen
338,ABFP,American Board of Family Practice
339,ABG,arterial blood gas
340,ABI,acquired brain injury
341,ABLA,acute blood loss anemia
342,ABLS,advanced burn life support
343,abn,abnormal(ity)
344,ABN,Advance Beneficiary Notice (Medicare)
345,ABO,"blood groups (A, B, AB, O)"
346,ABP,arterial blood pressure
347,ABPM,ambulatory blood pressure monitoring
348,ABPP,American Board of Professional Psychology
349,ABR,auditory brain response
350,Abs,antibodies
351,abs,"absent, absence"
352,ABW,actual body weight
353,abx,antibiotics
354,AC,adrenal cortex
355,ac,acute
356,ac phos,acid phosphatase
357,ACA,Affordable Care Act
358,ACC,adenoid cystic carcinoma
359,acc,according
360,acc.,accommodation
361,ACD,anticonvulsant drug
362,ACDA,adult children of alcoholics
363,ACE,angiotensin-converting enzyme
364,ACEI,angiotensin-converting enzyme inhibitor
365,ACEP,American College of Emergency Physicians
366,ACG,angiocardiography
367,ACh,acetylcholine
368,AChE,acetylcholinesterase
369,ACHES,"abdominal pain, chest pain, headache, eye problems, and severe leg pains"
370,AChR,acetylcholine receptor
371,ACJ,acromioclavicular joint
372,aCL,anticardiolipin antibodies
373,ACL,anterior cruciate ligament
374,ACLS,advanced cardiac life support
375,ACO,accountable care organization
376,ACOG,American College of Obstetricians and Gynecologists
377,ACP,advanced care plan
378,ACS,accountable care systems
379,ACSW,Academy of Certified Social Workers
380,ACT,assertive community treatment
381,act.,activity
382,ACTH,adrenocorticotropic hormone
383,ACU,ambulatory care unit
384,ACV,assist control ventilation
385,ACVD,acute cardiovascular disease
386,ad,up to
387,AD,autosomal dominant
388,ad lib.,"freely, as desired, at liberty (L. ad libitum)"
389,ad sat.,to saturation
390,ADA,Americans with Disabilities Act
391,ADC,AIDS dementia complex
392,ADD,attention deficit disorder
393,Add,adduction
394,ADDH,attention-deficit disorder with hyperactivity
395,addl,additional
396,ADE,antibody-dependent enhancement
397,ADEM,acute disseminated encephalomyelitis
398,adeq,adequate
399,ADH,alcohol dehydrogenase
400,ADHD,attention deficit hyperactivity disorder
401,ADHF,acute decompensated heart failure
402,ADI,acceptable daily intake
403,ADL,activities of daily living
404,adm,admission
405,ADME,"absorption, distribution, metabolism, and excretion"
406,admin,"administration, administer"
407,admov,let it be applied (admoveatur)
408,ADP,adenosine diphosphate
409,ADPKD,autosomal dominant polycystic kidney disease
410,ADR,adverse drug reaction
411,ADT,anticipated discharge tomorrow
412,adv,advise(d)
413,AE,above elbow
414,AEA,above elbow amputation
415,AEB,as evidenced by
416,AEC,ambulatory emergency care
417,AED,antiepileptic drug
418,AER,adverse event report
419,AF,atrial fibrillation
420,AFB,acid fast bacilli
421,Afeb,afebrile
422,Afib,atrial fibrillation
423,AFO,ankle foot orthosis
424,AFP,alpha-fetoprotein
425,AFV,amniotic fluid volume
426,AFX,atypical fibroxanthoma
427,Ag,antigen
428,AGA,appropriate/average for gestational age
429,AGC,atypical glandular cells
430,AGE,acute gastroenteritis
431,AGEP,acute generalized exanthematous pustulosis
432,aggl,agglutination
433,AGN,acute glomerulonephritis
434,AgNO3,silver nitrate
435,ags,antigens
436,AH,auditory hallucination
437,AHA,autoimmune hemolytic anemia
438,AHC,acute hemorrhagic cystitis
439,AHF,antihemophilic factor
440,AHG,aggregated human IgG
441,AI,aortic insufficiency/incompetence
442,AICD,automatic implantable cardiac defibrillator
443,AID,artificial insemination by donor
444,AIDS,acquired immunodeficiency syndrome
445,AIH,artificial insemination homologous
446,AIHA,autoimmune hemolytic anemia
447,AIMS,arthritis impact measurement scales
448,AIVR,accelerated idioventricular rhythm
449,AK,above the knee
450,aka,also known as (alias)
451,AKA,above the knee amputation
452,AKI,acute kidney injury
453,AKN,acne keloidalis nuchae
454,Al,Aluminum (element)
455,ALA,aminolevulinic acid
456,Alb,albumin
457,ALC,acute lethal catatonia
458,alc,alcohol
459,ALD,adrenoleukodystrophy
460,ALF,Assisted Living Facility
461,ALFT,abnormal liver function test
462,ALG,antilymphocyte globulin
463,ALL,acute lymphocytic/lymphoblastic leukemia
464,ALP,alkaline phosphatase
465,ALS,amyotrophic lateral sclerosis
466,alt,alternate
467,ALT,alanine transaminase
468,alt. dieb.,every other day (alternis diebus)
469,alt. hor.,alternate hours (alternis horis)
470,alt. noct.,alternate nights (alternis noctes)
471,am,"morning, before noon (ante meridiem)"
472,AMA,against medical advice
473,amb,ambulance
474,AMD,age-related macular degeneration
475,AME,"absorption, metabolism, excretion"
476,AMH,anti-Mullerian hormone
477,AMI,acute myocardial infarction
478,AML,acute myeloid leukemia
479,AMLS,advanced medical life support
480,AMML,acute myelomonocytic leukemia
481,amnio,amniocentesis
482,AMP,adenosine monophosphate
483,amp,ampule
484,AMPLE,"allergies, medications, past medical history, last meal, events preceding"
485,AMR,antimicrobial resistance
486,AMS,aseptic meningitis syndrome
487,AMSIT,"appearance, mood, sensorium, intelligence, thought process"
488,amt,amount
489,AMU,acute medical unit
490,AN,acanthosis nigricans
491,ANA,antinuclear antibody
492,anast.,anastomosis
493,anat,anatomy or anatomic
494,ANC,absolute neutrophil count
495,ANCA,anti-neutrophilic cytoplasmic antibody
496,ANCOVA,analysis of covariance
497,AND,allow natural death
498,anes,anesthesia
499,anesth,anesthesia
500,ANF,atrial natriuretic factor
501,ang,angiogram
502,ANLL,acute nonlymphocytic leukemia
503,ANP,advanced nurse practitioner
504,ANS,autonomic nervous system
505,ant.,anterior
506,anti-CCP,anticyclic citrullinated peptide
507,anti-GBM,anti-glomerular basement membrane
508,Anti-HAV,Hepatitis A antibody
509,Anti-HBc,Hepatitis B antibodies to the core antigen
510,Anti-HBe,Hepatitis B antibody (antibody to HBeAg)
511,Anti-HBs,Hepatitis B antibodies to the surface antigen
512,Anti-HCV,Hepatitis C Virus Antibodies
513,AO,acridine orange
514,Ao.,aorta
515,AOB,alcohol on breath
516,AODM,adult onset diabetes mellitus
517,AOM,acute otitis media
518,AOP,acknowledgment of paternity
519,AOTA,American Occupational Therapy Association
520,AP,apical pulse
521,Ap,apex/apical
522,ap,before meal (ante prandium)
523,AP D,anteroposterior diameter
524,APA,antipernicious anemia (factor)
525,APACHE,Acute Physiology and Chronic Health Evaluation
526,APAP,"N-acetyl-para-aminophenol (paracetamol, acetaminophen)"
527,APC,atrial premature contraction
528,APD,automated peritoneal dialysis
529,APE,acute pulmonary edema
530,APGAR,"appearance, pulse, grimace, activity, respiration"
531,API,active pharmaceutical ingredient
532,APL,abductor pollicis longus
533,aPL,antiphospholipid antibodies
534,APLS,antiphospholipid syndrome
535,APMS,alternative provider medical services
536,APN,Advanced Practice Nurse
537,APORF,acute postoperative renal failure
538,appar,apparent
539,APPG,aqueous procaine penicillin-g
540,approx,approximately
541,aPPT,activated partial thromboplastin time
542,appt,appointment
543,APRN,Advanced Practice Registered Nurse
544,APRV,airway pressure release ventilation
545,APS,antiphospholipid syndrome
546,APSGN,acute poststreptococcal glomerulonephritis
547,APT,anatomical pathology technologist
548,aPTT,activated partial thromboplastin time
549,aq,water (aqua)
550,AR,artificial respiration
551,Ar,Argon (element)
552,ARB,angiotensin-ii receptor blocker
553,ARBD,alcohol-related birth defects
554,ARC,American Red Cross
555,ARD,acute respiratory distress
556,ARDD,alcohol-related developmental disability
557,ARDS,acute respiratory distress syndrome
558,ARF,acute renal failure
559,ARG,argininemia
560,ARMD,age-related macular degeneration
561,ARND,alcohol-related neurodevelopmental disorder
562,ARNP,Advanced Registered Nurse Practitioner
563,AROM,active range of motion
564,ARRP,anatomic retropubic radical prostatectomy
565,ARRT,American Registry of Radiologic Technologists
566,ARS,acute radiation syndrome
567,ART,assisted reproductive technology/therapy
568,art,arterial
569,ARV,antiretroviral
570,AS,ankylosing spondylitis
571,As,Arsenic (element)
572,as tol,as tolerated
573,As.,astigmatism
574,ASA,acetylsalicylic acid (aspirin)
575,aSAH,aneurysmal subarachnoid hemorrhage
576,ASAP,as soon as possible
577,ASC,atypical squamous cells
578,ASC-US,atypical squamous cells of undetermined significance
579,asc.,ascending
580,ASCA,anti-saccharomyces cerevisiae antibody
581,ASCP,American Society of Clinical Pathologists
582,ASCT,allogenic stem cell transplant
583,ASCVD,atherosclerotic cardiovascular disease
584,ASD,autism spectrum disorders
585,ASF,anterior spinal fusion
586,ASH,asymmetrical septal hypertrophy
587,AsH,hypermetropic astigmatism
588,ASHD,arteriosclerotic heart disease
589,ASHF,acute systolic heart failure
590,ASIS,anterior superior iliac spine
591,AsM,myopic astigmatism
592,ASO,administrative services only
593,ASPD,advanced sleep phase disorder
594,AST,aspartate aminotransferase (formerly SGOT)
595,Ast,astigmatism
596,ASU,ambulatory surgery unit
597,Asx,asymptomatic
598,AT,anterior tibial
599,at. wt.,atomic weight
600,ATF,"alcohol, tobacco, and firearms"
601,ATG,antithymocyte globulin
602,ATL,adult T-cell leukemia
603,ATLS,advanced trauma life support
604,ATN,acute tubular necrosis
605,ATOD,"alcohol, tobacco, and other drugs"
606,ATP,adenosine triphosphate
607,atr,atrophy
608,AU,"each ear (auris uterque), both ears"
609,Au,Gold (element)
610,AUC,area under the curve
611,aud,auditory
612,AUG,oxytocin challenge test
613,AUL,acute undifferentiated leukemia
614,ausc,auscultation
615,aux,auxiliary
616,AV,aortic value
617,AV block,atrioventricular block
618,AV valves,atrioventricular valves
619,av.,avoirdupois
620,AVB,atrioventricular block
621,AVD,atrioventricular dissociation
622,AVI,automatic volume infusion pump
623,AVM,arteriovenous malformation
624,AVN,avascular necrosis
625,AVP,arginine vasopressin
626,AVPU,"alert, verbal, pain response, unresponsive"
627,AVR,aortic valve repair
628,AVS,arteriovenous shunt
629,AVSS,"afebrile, vital signs stable"
630,AWC,adequate and well-controlled
631,AWMI,anterior wall myocardial infarction
632,AWOL,absent without (official) leave
633,ax,axillary
634,AXR,abdominal x-ray
635,AXT,alternating exotropia
636,AZA,azathioprine
637,b,both
638,B,black
639,B&C,board and care (home)
640,B-Med,behavioral medicine
641,b.i.d.,twice a day
642,b.i.n.,twice a night (bis in noctis)
643,B/O,because of
644,B0,riboflavin
645,B1,Thiamin
646,B4,Pyridoxine
647,B7,folic acid
648,Ba,Barium (element)
649,BAC,blood alcohol concentration
650,bact,bacterial
651,BAEP,brainstem auditory evoked potentials
652,BAER,brainstem auditory evoked response
653,BAHA,bone anchored hearing aid
654,bal,balance
655,BAL,bronchoalveolar lavage
656,Band,banded neutrophil
657,barbs,barbiturates
658,Baso,basophil
659,BB,breakthrough bleeding
660,BBB,bundle branch block
661,BBP,blood-borne pathogens
662,BBS,bilateral breath sounds
663,BBT,basal body temperature
664,BBW,black box warning
665,BC,breast cancer
666,BCA,bichloroacetic acid
667,BCC,basal cell carcinoma
668,BCCP,breast and cervical cancer (treatment) program
669,BCCTP,breast and cervical cancer (treatment) program
670,BCE,basal cell epithelioma
671,BCG,Bacille Calmette-Guerin (vaccine)
672,BCLS,basic cardiac life support
673,BCM,body cell mass
674,BCNSP,Board Certified Nutrition Support Pharmacist
675,BCOP,Board Certified Oncology Pharmacist
676,BCP,birth control pill(s)
677,BCPP,Board Certified Psychiatric Pharmacist
678,BCPS,Board Certified Pharmacotherapy Specialist
679,BD,Buerger disease
680,BDD,body dysmorphic disorder
681,BDI,beck depression inventory
682,BDNF,brain-derived neurotrophic factor
683,Be,Beryllium (element)
684,BE,Barium enema
685,BEA,below-the-elbow amputation
686,BEAM,brain electrical activity mapping
687,BED,binge eating disorder
688,BEE,basal energy expenditure
689,beg,"begin, began, beginning"
690,BEq,bioequivalence
691,bet,between
692,BF,breast feed(ing)
693,BFP,biological false-positive
694,BFR,blood flow rate
695,BG,blood glucose
696,bGH,bovine growth hormone
697,BGM,blood glucose monitoring
698,BH,behavioral health
699,BHA,beta hydroxy acid
700,BHS,behavioral health services
701,BHU,behavioral health unit
702,Bi,Bismuth (element)
703,BI,brain injury
704,BIB,brought in by
705,bib.,drink
706,BIBA,brought in by ambulance
707,bicarb,(Sodium) bicarbonate
708,bid,twice a day (bis in die)
709,BIDS,bedtime insulin and daytime sulfonylureas
710,BIH,bilateral inguinal herniorrhaphy
711,bil,bilateral
712,bilat,bilateral
713,bili,bilirubin
714,bin,twice a night (bis in noctis)
715,biol,biologic
716,BIOT,biotinidase deficiency
717,BiPAP,bilevel positive airway pressure
718,bisp.,bispinous diameter (interspinous diameter)
719,BK,below the knee
720,BKA,below knee amputation
721,BL,bilateral
722,Bl,blood
723,bl,bleeding
724,bl.,blood
725,bld,blood
726,BLE,bilateral lower extremities
727,BLL,blood lead level
728,BLS,basic life support
729,BM,body mechanics
730,BMA,British Medical Association
731,BMC,bone mineral content
732,BMD,bone mineral density
733,BME,biomedical engineering
734,BMK,birthmark
735,BMP,basic metabolic panel
736,BMPs,bone morphogenetic proteins
737,BMR,basal metabolic rate
738,BMS,burning mouth syndrome
739,BMT,bone marrow transplantation
740,BNF,British National Formulary
741,BNP,brain natriuretic peptide
742,BO,bowel obstruction
743,BOA,born out of asepsis
744,BOH,board of health
745,bol.,pill (bolus)
746,BOM,bilateral otitis media
747,BOS,bacterial overgrowth syndrome
748,bot,bottle
749,BOT,base of tongue
750,BP,base pair
751,BPA,bisphenol A
752,BPAD,bipolar affective disorder
753,BPD,borderline personality disorder
754,BPd,"blood pressure, diastolic"
755,BPH,benign prostatic hypertrophy
756,BPharm,Bachelor of Pharmacy
757,bpm,beats per minute
758,BPP,biophysical profile
759,BPPV,benign paroxysmal positional vertigo
760,BPRS,brief psychiatric rating scale
761,BPS,bilateral partial salpingectomy
762,BPs,"blood pressure, systolic"
763,BPV,benign positional vertigo
764,Br,Bromine (element)
765,BR,bed rest
766,brady,bradycardia
767,BRAIDED,"benefits, risks, alternatives, inquiries, decision, explanation, documentation"
768,BRAT,"bananas, rice, applesauce, toast (diet)"
769,BRB,bright red blood
770,BRBPR,bright red blood per rectum
771,BRC,biomedical research center
772,BRM,biological response modifier
773,BROW,"barley, rye, oats, and wheat"
774,BRP,bathroom privileges
775,BRU,biomedical research unit
776,BS,bowel sounds
777,BS&O,bilateral salpingectomy and oophorectomy
778,BSA,body surface area
779,BSB,breath sounds bilateral
780,BSC,biological safety cabinet
781,BSc,Bachelor of Science
782,BSE,bovine spongiform encephalopathy
783,BSF,basal skull fracture
784,BSI,blood stream infection
785,BSL,blood sugar level
786,BSLE,bullous systemic lupus erythematosus
787,BSN,Bachelor of Science in Nursing
788,BSO,bilateral salpingo-oophorectomy
789,BSOM,bilateral serous otitis media
790,BSS,balanced salt solution
791,BST,breast stimulation test
792,BSU,base service unit
793,Bt,Bacillus thuringiensis
794,BT,bioterrorism
795,BTB,breakthrough bleeding
796,BTBV,beat to beat variability
797,BTE,behind the ear (heading aids)
798,BTFS,breast tumor frozen section
799,BTL,bilateral tubal ligation
800,BTLS,basic trauma life support
801,BTP,bladder training program
802,BTW,by the way
803,btw.,between
804,BU,Bethesda unit
805,BUdR,bromodeoxyuridine
806,BUE,both upper extremities
807,BUM,back-up method
808,BUN,blood urea nitrogen
809,BUS,"Bartholin's, Urethral, and Skene's glands"
810,BV,bacterial vaginosis
811,BVT,bilateral ventilation tube(s)
812,BW,birth weight
813,BWS,battered woman syndrome
814,Bx,biopsy
815,C,Celsius (centigrade)
816,c,calorie (small calorie)
817,C&A,conscious and alert
818,C&C,confirmed and compatible
819,C&DB,cough and deep breath
820,C&P,crowning and pushing
821,C&S,culture and sensitivity
822,C-B,chest-back
823,C-collar,cervical collar
824,C-spine,cervical spine
825,c.m.s.,to be taken tomorrow morning (cras mane sumendus)
826,c.n.,tomorrow night (cras nocte)
827,c.n.s.,to be taken tomorrow night (cras nocte sumendus)
828,c/o,complains of
829,C/S,consult
830,C/TG,cholesterol/triglyceride ratio
831,C/w,consistent with
832,C1,first cervical vertebra
833,C2,second cervical vertebra
834,CA,"cancer, carcinoma"
835,Ca,Calcium (element)
836,ca.,about
837,CAB,compressions-airway-breathing
838,CABG,coronary artery bypass graft
839,CAC,Certified Addictions Counselor
840,CaCO3,calcium carbonate
841,CACT,carnitine acylcarnitine translocase (deficiency)
842,CAD,computer-aided detection
843,CAE,complement activity enzyme
844,CAF,"cytoxan, adriamycin, fluorouracil"
845,CAGE,"controlling, anger/annoyance, guilt, eye opener (questions)"
846,CAH,chronic active hepatitis
847,CAI,computer assisted instruction
848,Cal,Calorie (kilocalorie)
849,cal,calorie
850,CAM,complementary and alternative medicine
851,cAMP,cyclic adenosine monophosphate
852,CAO,"conscious, alert, and oriented"
853,CAOX3,"conscious, alert, oriented to person, place, time"
854,cap,capillary
855,CAP,community acquired pneumonia
856,CAPD,continuous ambulatory peritoneal dialysis
857,caps,capsules
858,CARP,confluent and reticulated papillomatosis
859,CAST,cardiac arrhythmia suppression trial
860,CAT,computerized axial tomography
861,cath,cathartic
862,CAU,child and adolescent unit
863,cauc,Caucasian
864,CAUTI,catheter-associated urinary tract infection
865,cav,cavity
866,CAVP,continuous arterial venous pressure
867,CB,carotid bruit
868,CBC,complete blood count
869,CBD,common bile duct
870,CBE,clinical breast exam
871,CBF,cerebral blood flow
872,CBG,capillary blood gas
873,CBI,continuous bladder irrigation
874,CBLL,capillary blood lead level
875,CBO,community based organization
876,CBP,chronic bacterial prostatitis
877,CBRNE,"chemical, biological, radiological, nuclear, and explosive agents"
878,CBS,casual blood sugar
879,CBSC,cord blood stem cells
880,CBT,computer-based training
881,CBW,chemical and biological warfare
882,cc,cubic centimeter
883,CC,current complaint
884,CCA,calcium channel antagonist
